n_cnn,n_dense,i_cnn,i_dense,batch_normalization,max_pool,dropout,accuracy,precision,recall,f1_score,AUC_ROC,MCC,time,generation,reward
0,-2,0,0,[],[],[],0.8958333333333334,0.9669823232323232,0.9050412345402187,0.9222168743032405,0.999907797943035,0.8965733887338374,12.671578407287598,0,0.9083333333333333
3,4,8,128,"[0, 1, 0]","[1, 1, 0]","[0, 1, 1, 1]",0.9770833333333333,0.9802612634693538,0.9787420748376127,0.9790312358119895,0.9996654129320005,0.9760999595572086,17.06307291984558,0,0.9770833253860474
-2,0,0,0,[],[],[],0.825,0.8792234262216078,0.8325482853003149,0.8405518715657091,0.985443488874251,0.8203374792072248,7.55444598197937,0,0.825
-1,2,0,256,[],[],"[0, 1]",0.9854166666666667,0.9867098782859651,0.9863648127235084,0.9862539818199946,0.99981498448375,0.9847845615274406,84.77332949638367,0,0.9854166507720947
4,5,16,128,"[0, 1, 0, 0]","[1, 1, 1, 0]","[0, 0, 1, 1, 0]",0.9333333333333333,0.946520736474381,0.9420972868405402,0.9385788306964105,0.9971819656769326,0.9310465813746359,20.093751192092896,1,0.9333333373069763
1,4,32,512,[1],[0],"[1, 1, 0, 1]",0.9833333333333333,0.9848424723424724,0.9852037053124011,0.984275687039152,0.9990712521251471,0.9826577274964949,30.299078464508057,1,0.9833333492279053
0,3,0,256,[],[],"[0, 0, 1]",0.9854166666666667,0.9861754187841144,0.9859899598028888,0.9858044420863479,0.9999699294486692,0.9847846304811104,32.23426556587219,1,0.9854166507720947
0,3,0,256,[],[],"[0, 0, 1]",0.9875,0.9890389016018307,0.9882394652131495,0.9881857020173017,0.9999448375301121,0.9869799354047808,31.963975191116333,1,0.987500011920929
0,4,0,128,[],[],"[0, 1, 1, 1]",0.9625,0.9630141672940585,0.9671313764876359,0.9631214005891743,0.9997911737015185,0.9609847852707029,33.22586750984192,1,0.9624999761581421
-1,3,0,256,[],[],"[0, 0, 1]",0.9895833333333334,0.9899516784385206,0.9903330666917624,0.9899467515959292,0.9998997910752504,0.9891309280259492,87.88149094581604,1,0.9895833134651184
4,4,16,64,"[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0]",0.9354166666666667,0.9386610755723076,0.9393058793099582,0.9364739554606674,0.9966671401685291,0.9327302998037589,20.972180128097534,1,0.9354166388511658
0,3,0,256,[],[],"[0, 0, 1]",0.9854166666666667,0.9861390960933294,0.986911240615474,0.9862715529788701,0.9999655661834895,0.9847854594570234,32.46517062187195,1,0.9854166507720947
0,2,0,64,[],[],"[1, 1]",0.98125,0.9835269889975268,0.9833780651715435,0.9822571245575983,0.9999053113036734,0.9805294961299256,31.136691570281982,1,0.981249988079071
3,4,8,128,"[1, 1, 0]","[0, 1, 0]","[1, 1, 0, 1]",0.9645833333333333,0.9662276594020015,0.9663882136520817,0.9648869543410371,0.9998083806214958,0.9631192161528677,16.441913843154907,1,0.9645833373069763
0,3,0,256,[],[],"[0, 0, 1]",0.9854166666666667,0.9852631001086379,0.9860068209610544,0.985315789618476,0.9999108182298527,0.9847850446155798,31.986365795135498,2,0.9854166507720947
1,4,32,512,[1],[0],"[1, 1, 0, 1]",0.9645833333333333,0.9665465747702591,0.9691118549533092,0.9653997024036657,0.9994829013303526,0.9632418399318041,30.094460487365723,2,0.9645833373069763
-1,3,0,256,[],[],"[0, 0, 1]",0.9791666666666666,0.9829228200527543,0.9800927508164351,0.9807596495947485,0.9993312512835173,0.9783070514481147,85.66928791999817,2,0.9791666865348816
